Player,Role,Team,Year,Amount_Crore,Player Origin
Aaron Finch,Batsman,Sunrisers Hyderabad,2014.0,4.0,Overseas
Aaron Finch,Batsman,Mumbai Indians,2015.0,3.2,Overseas
Aaron Finch,Batsman,Gujarat Lions,2016.0,1.0,Overseas
Aaron Finch,Batsman,Kings XI Punjab,2018.0,6.2,Overseas
Aaron Finch,Batsman,Royal Challengers Bangalore,2020.0,4.4,Overseas
Abdul Samad,All-Rounder,Sunrisers Hyderabad,2020.0,0.2,Indian
Abhijeet Tomar,Batsman,Kolkata Knight Riders,2022.0,0.4,Indian
Abhimanyu Mithun,Bowler,Mumbai Indians,2015.0,0.3,Indian
Abhimanyu Mithun,Bowler,Sunrisers Hyderabad,2016.0,0.3,Indian
Abhinav Sadarangani,Batsman,Gujarat Titans,2022.0,2.6,Indian
Abhishek Nayar,All-Rounder,Pune Warriors India,2013.0,5.0625,Indian
Abhishek Nayar,All-Rounder,Rajasthan Royals,2014.0,1.0,Indian
Abhishek Sharma,All-Rounder,Delhi Daredevils,2018.0,0.55,Indian
Abhishek Sharma,All-Rounder,Sunrisers Hyderabad,2022.0,6.5,Indian
Abu Nechim Ahmed,Bowler,Royal Challengers Bangalore,2014.0,0.3,Indian
Adam Milne,Bowler,Royal Challengers Bangalore,2015.0,0.7,Overseas
Adam Milne,Bowler,Mumbai Indians,2021.0,3.2,Overseas
Adam Milne,Bowler,Chennai Super Kings,2022.0,1.9,Overseas
Adam Zampa,Bowler,Rising Pune Supergiant,2016.0,0.3,Overseas
Aditya Garhwal,All-Rounder,Kolkata Knight Riders,2015.0,0.25,Indian
Aditya Tare,Wicket Keeper,Mumbai Indians,2014.0,1.6,Indian
Aditya Tare,Wicket Keeper,Sunrisers Hyderabad,2016.0,1.2,Indian
Aditya Tare,Wicket Keeper,Delhi Daredevils,2017.0,0.25,Indian
Aditya Tare,Wicket Keeper,Mumbai Indians,2018.0,0.2,Indian
Agnivesh Ayachi,All-Rounder,Kings XI Punjab,2019.0,0.2,Indian
Aiden Blizzard,Batsman,Mumbai Indians,2015.0,0.3,Overseas
Aiden Markram,Batsman,Sunrisers Hyderabad,2022.0,2.6,Overseas
Ajantha Mendis,Bowler,Pune Warriors India,2013.0,5.4375,Overseas
Ajinkya Rahane,Batsman,Rajasthan Royals,2018.0,4.0,Indian
Ajinkya Rahane,Batsman,Kolkata Knight Riders,2022.0,1.0,Indian
Akash Deep,Bowler,Royal Challengers Bangalore,2022.0,0.2,Indian
Akash Singh,Bowler,Rajasthan Royals,2020.0,0.2,Indian
Akash Singh,Bowler,Rajasthan Royals,2021.0,0.2,Indian
Akhil Arvind Herwadkar,All-Rounder,Delhi Daredevils,2016.0,0.1,Indian
Akila Dananjaya,All-Rounder,Chennai Super Kings,2013.0,0.15,Overseas
Akila Dhananjaya,Bowler,Mumbai Indians,2018.0,0.5,Overseas
Akshar Rajesh Patel,All-Rounder,Kings XI Punjab,2014.0,0.75,Indian
Akshay Karnewar,All-Rounder,Royal Challengers Bangalore,2016.0,0.1,Indian
Akshay Wakhare,Bowler,Mumbai Indians,2015.0,0.1,Indian
Akshdeep Nath,All-Rounder,Gujarat Lions,2016.0,0.1,Indian
Akshdeep Nath,All-Rounder,Gujarat Lions,2017.0,0.1,Indian
Akshdeep Nath,All-Rounder,Kings XI Punjab,2018.0,1.0,Indian
Akshdeep Nath,All-Rounder,Royal Challengers Bangalore,2019.0,3.6,Indian
Albie Morkel,All-Rounder,Royal Challengers Bangalore,2014.0,2.4,Overseas
Albie Morkel,All-Rounder,Delhi Daredevils,2015.0,0.3,Overseas
Alex Carey,Wicket Keeper,Delhi Capitals,2020.0,2.4,Overseas
Alex Hales,Batsman,Kolkata Knight Riders,2022.0,1.5,Overseas
Alzarri Joseph,Bowler,Gujarat Titans,2022.0,2.4,Overseas
Aman Khan,All-Rounder,Kolkata Knight Riders,2022.0,0.2,Indian
Ambati Rayudu,Wicket Keeper,Chennai Super Kings,2018.0,2.2,Indian
Ambati Rayudu,Wicket Keeper,Chennai Super Kings,2022.0,6.75,Indian
Amit Mishra,Bowler,Rajasthan Royals,2014.0,0.1,Indian
Amit Mishra,Bowler,Sunrisers Hyderabad,2014.0,4.75,Indian
Amit Mishra,Bowler,Delhi Daredevils,2015.0,3.5,Indian
Amit Mishra,Bowler,Gujarat Lions,2016.0,0.1,Indian
Amit Mishra,Bowler,Delhi Daredevils,2018.0,4.0,Indian
Amit Paunikar,Wicket Keeper,Sunrisers Hyderabad,2014.0,0.2,Indian
Andre Russell,All-Rounder,Kolkata Knight Riders,2014.0,0.6,Overseas
Andrew Tye,Bowler,Chennai Super Kings,2015.0,0.2,Overseas
Andrew Tye,All-Rounder,Gujarat Lions,2016.0,0.5,Overseas
Andrew Tye,Bowler,Kings XI Punjab,2018.0,7.2,Overseas
Andrew Tye,Bowler,Rajasthan Royals,2020.0,1.0,Overseas
Aneeshwar Gautam,All-Rounder,Royal Challengers Bangalore,2022.0,0.2,Indian
Angelo Mathews,All-Rounder,Delhi Daredevils,2015.0,7.5,Overseas
Angelo Mathews,All-Rounder,Delhi Daredevils,2017.0,2.0,Overseas
Aniket Choudhary,Bowler,Royal Challengers Bangalore,2017.0,2.0,Indian
Aniket Choudhary,Bowler,Royal Challengers Bangalore,2018.0,0.3,Indian
Anirudha Ashok Joshi,All-Rounder,Royal Challengers Bangalore,2018.0,0.2,Indian
Anirudha Ashok Joshi,All-Rounder,Rajasthan Royals,2020.0,0.2,Indian
Ankeet Bawane,Batsman,Delhi Daredevils,2017.0,0.1,Indian
Ankit Nagendra Sharma,Bowler,Rajasthan Royals,2014.0,0.1,Indian
Ankit Sharma,All-Rounder,Rising Pune Supergiant,2016.0,0.1,Indian
Ankit Sharma,All-Rounder,Rajasthan Royals,2018.0,0.2,Indian
Ankit Singh Rajpoot,Bowler,Kolkata Knight Riders,2016.0,1.5,Indian
Ankit Singh Rajpoot,Bowler,Kings XI Punjab,2018.0,3.0,Indian
Ankit Singh Rajpoot,Bowler,Lucknow Super Giants,2022.0,0.5,Indian
Ankush Bains,Wicket Keeper,Rajasthan Royals,2014.0,0.1,Indian
Ankush Bains,Wicket Keeper,Chennai Super Kings,2015.0,0.1,Indian
Ankush Bains,Wicket Keeper,Rising Pune Supergiant,2016.0,0.1,Indian
Ankush Bains,Wicket Keeper,Delhi Capitals,2019.0,0.2,Indian
Anmolpreet Singh,Batsman,Mumbai Indians,2019.0,0.8,Indian
Anmolpreet Singh,Batsman,Mumbai Indians,2022.0,0.2,Indian
Anrich Nortje,Bowler,Kolkata Knight Riders,2019.0,0.2,Overseas
Ansh Patel,All-Rounder,Punjab Kings,2022.0,0.2,Indian
Anuj Rawat,Wicket Keeper,Rajasthan Royals,2020.0,0.8,Indian
Anuj Rawat,Wicket Keeper,Royal Challengers Bangalore,2022.0,3.4,Indian
Anukul Roy,All-Rounder,Mumbai Indians,2018.0,0.2,Indian
Anukul Roy,All-Rounder,Kolkata Knight Riders,2022.0,0.2,Indian
Anunay Singh,All-Rounder,Rajasthan Royals,2022.0,0.2,Indian
Anureet Singh,Bowler,Kings XI Punjab,2014.0,0.2,Indian
Anureet Singh,Bowler,Rajasthan Royals,2018.0,0.3,Indian
Apoorv Vijay Wankhade,Batsman,Mumbai Indians,2014.0,0.1,Indian
Apoorv Vijay Wankhade,Batsman,Kolkata Knight Riders,2018.0,0.2,Indian
Arjun Tendulkar,All-Rounder,Mumbai Indians,2021.0,0.2,Indian
Arjun Tendulkar,All-Rounder,Mumbai Indians,2022.0,0.3,Indian
Armaan Jaffer,Batsman,Kings XI Punjab,2016.0,0.1,Indian
Arshdeep Singh,Bowler,Kings XI Punjab,2019.0,0.2,Indian
Aryaman Vikram Birla,All-Rounder,Rajasthan Royals,2018.0,0.3,Indian
Aryan Juyal,Wicket Keeper,Mumbai Indians,2022.0,0.2,Indian
Asela Gunarathna,Batsman,Mumbai Indians,2017.0,0.3,Overseas
Ashish Nehra,Bowler,Chennai Super Kings,2014.0,2.0,Indian
Ashish Nehra,Bowler,Sunrisers Hyderabad,2016.0,5.5,Indian
Ashish Reddy,Bowler,Sunrisers Hyderabad,2014.0,0.2,Indian
Ashok Dinda,Bowler,Royal Challengers Bangalore,2014.0,1.5,Indian
Ashok Dinda,Bowler,Rising Pune Supergiant,2016.0,0.5,Indian
Ashok Sharma,Bowler,Kolkata Knight Riders,2022.0,0.55,Indian
Ashton Turner,All-Rounder,Rajasthan Royals,2019.0,0.5,Indian
Ashwin Hebbar,Batsman,Delhi Capitals,2022.0,0.2,Indian
Asif K M,Bowler,Chennai Super Kings,2018.0,0.4,Indian
Atharva Taide,All-Rounder,Punjab Kings,2022.0,0.2,Indian
Avesh Khan,Bowler,Delhi Daredevils,2018.0,0.7,Indian
Avesh Khan,Bowler,Lucknow Super Giants,2022.0,10.0,Indian
Axar Rajesh Patel,All-Rounder,Delhi Capitals,2019.0,5.0,Indian
Ayush Badoni,All-Rounder,Lucknow Super Giants,2022.0,0.2,Indian
B. Sai Sudharsan,All-Rounder,Gujarat Titans,2022.0,0.2,Indian
Baba Aparajith,Batsman,Chennai Super Kings,2014.0,0.1,Indian
